"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"3701","Madurai Cafe","Quick Bites","2.8","40","200","No","No","South Indian, Chinese, North Indian","3701","Koramangala 7th Block","Wilson Garden"
"3702","Madurai Canteen","Quick Bites","2.9","38","200","Yes","No","Chettinad, South Indian","3702","Kalyan Nagar","Nagawara"
"3703","Madurai Idli Dosa Shop","Quick Bites","3.6","63","150","No","No","South Indian","3703","Marathahalli","Marathahalli"
"3704","Madurai Idly Dosai Centre","Quick Bites","3.3","16","150","No","No","South Indian","3704","Kalyan Nagar","Banaswadi"
"3705","Madurai Idly Shop","Quick Bites","2.1","193","200","No","No","South Indian","3705","Sarjapur Road","Sarjapur Road"
"3706","Madurai Meenakshi Vilas","Quick Bites","3.6","27","300","Yes","No","South Indian","3706","Bellandur","Bellandur"
"3707","Madurai Veg Kitchen","Takeaway, Delivery","2.8","40","200","Yes","No","North Indian, Chinese, South Indian","3707","Bellandur","Bellandur"
"3708","Maestros Cafe","Takeaway","2.8","40","200","No","No","Biryani, Fast Food, Cafe, Coffee, Rolls, Wraps","3708","Kalyan Nagar","HBR Layout"
"3709","Maggi N Maggi House","Takeaway, Delivery","2.8","40","300","No","No","Fast Food","3709","HSR","HSR"
"3710","Magic Bowl","Casual Dining","3.6","98","700","Yes","No","North Indian, Chinese, Arabian, Mughlai","3710","Electronic City","Electronic City"
"3711","Magic Box","Takeaway, Delivery","3.3","21","300","Yes","No","South Indian, North Indian, Chinese","3711","Brigade Road","Indiranagar"
"3712","Magic Meals","Quick Bites, Dessert Parlor","3.7","44","400","Yes","No","Fast Food, Desserts, Beverages","3712","Jayanagar","Jayanagar"
"3713","Magic Oven","Cafe, Dessert Parlor","4","134","400","No","No","Cafe, Desserts","3713","Electronic City","Electronic City"
"3714","Magic scoops N Smiles","Dessert Parlor","2.8","40","200","No","No","Desserts","3714","Brookefield","Whitefield"
"3715","Magix's Parattha Roll","Quick Bites","3.7","184","400","Yes","No","Fast Food, North Indian, Chinese, Mughlai, Rolls","3715","Bannerghatta Road","BTM"
"3716","Magnolia","Casual Dining","4.1","668","900","Yes","Yes","Chinese, Thai, Asian","3716","Byresandra,Tavarekere,Madiwala","Koramangala 3rd Block"
"3717","Mahadii's","Casual Dining","3.8","223","600","Yes","No","Andhra, North Indian, Chinese","3717","Kammanahalli","Kammanahalli"
"3718","Mahadwani Restaurant","Quick Bites","3.3","4","300","No","No","South Indian, North Indian","3718","Electronic City","Electronic City"
"3719","Mahalakshmi Refreshments","Quick Bites","3.7","22","200","No","No","South Indian","3719","Malleshwaram","Rajajinagar"
"3720","Mahalaxmi Tiffin Room","Quick Bites","4.1","177","100","No","No","South Indian","3720","Banashankari","Basavanagudi"
"3721","Mahek E Punjab","Casual Dining","3.1","7","500","No","No","North Indian, Chinese","3721","HSR","HSR"
"3722","Mahek of Punjab","Quick Bites","2.7","75","400","Yes","No","North Indian","3722","Brookefield","Marathahalli"
"3723","Mahek Pizza","Quick Bites","3.9","38","400","Yes","No","Pizza","3723","Bannerghatta Road","JP Nagar"
"3724","Mahesh Friends Food Center","Quick Bites","2.9","126","300","Yes","No","Chinese, North Indian","3724","Bannerghatta Road","BTM"
"3725","Mahesh Lunch Home","Casual Dining","4.1","860","1400","Yes","Yes","Seafood, Mangalorean, North Indian, Chinese","3725","Brigade Road","Residency Road"
"3726","Mahjong Room - WelcomHotel Bengaluru","Casual Dining","4.4","127","1200","No","Yes","Chinese","3726","Lavelle Road","Richmond Road"
"3727","Maia - Eat | Bake | Mom","Casual Dining","4.2","1004","1200","Yes","Yes","Continental, North Indian, Beverages","3727","HSR","Bellandur"
"3728","Mainland China","Casual Dining","4.3","881","1700","Yes","Yes","Chinese, Momos","3728","Basavanagudi","Jayanagar"
"3729","Maiyas","Quick Bites","4","1778","200","Yes","No","North Indian, South Indian, Fast Food, Juices","3729","Banashankari","Jayanagar"
"3730","Majaa Thindi","Quick Bites","3.9","37","100","Yes","No","South Indian","3730","New BEL Road","New BEL Road"
"3731","Majlish","Casual Dining","3.6","79","800","No","No","Bengali, North Indian, Chinese","3731","Whitefield","Whitefield"
"3732","Mak n Vak - Fyn","Quick Bites","3.9","337","500","Yes","No","North Indian, Chinese","3732","Bellandur","HSR"
"3733","Makaranda","Casual Dining","3.5","14","750","No","No","North Indian, Chinese, South Indian, Mughlai","3733","Malleshwaram","Yeshwantpur"
"3734","Make It Roll","Quick Bites","3.8","33","400","Yes","No","Rolls, Salad, Sandwich","3734","Byresandra,Tavarekere,Madiwala","HSR"
"3735","Makers of Milkshakes","Beverage Shop","3.9","39","300","Yes","No","Beverages","3735","Bellandur","HSR"
"3736","Malabar","Casual Dining","3","159","400","Yes","No","South Indian","3736","Indiranagar","Jeevan Bhima Nagar"
"3737","Malabar Bay","Casual Dining","4.1","1541","800","Yes","Yes","Kerala, Seafood, Chinese, Biryani, Juices","3737","Byresandra,Tavarekere,Madiwala","BTM"
"3738","Malabar Cafe","Quick Bites","3.3","4","400","Yes","No","South Indian, Kerala, Biryani","3738","Bannerghatta Road","Bannerghatta Road"
"3739","Malabar Coastal Cuisine","Food Court","3.6","68","550","No","No","Kerala","3739","Byresandra,Tavarekere,Madiwala","Koramangala 7th Block"
"3740","Malabar Day","Quick Bites","2.8","40","300","No","No","Kerala, Fast Food, Beverages","3740","Kalyan Nagar","Kammanahalli"
"3741","Malabar Food Court","Quick Bites","3.4","7","400","No","No","Chinese, Kerala, South Indian","3741","Kalyan Nagar","HBR Layout"
"3742","Malabar Kitchen","Quick Bites","2.8","40","300","Yes","No","North Indian, Chinese, Fast Food","3742","Koramangala 6th Block","BTM"
"3743","Malabar Mandra","Casual Dining","3.6","45","700","Yes","No","Kerala, Chinese","3743","Byresandra,Tavarekere,Madiwala","Koramangala 1st Block"
"3744","Malabar Mess","Mess","3.7","43","250","No","No","Kerala","3744","Bannerghatta Road","Bannerghatta Road"
"3745","Malabar Mint","Casual Dining","3.4","39","700","No","No","Kerala, North Indian, Chinese","3745","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"3746","Malabar Restaurant","Quick Bites","3.6","19","400","No","No","Kerala, Fast Food, Beverages","3746","Electronic City","Electronic City"
"3747","Malabar Tasty Restaurant","Casual Dining","3","8","450","No","No","Kerala, North Indian, Chinese, South Indian","3747","Marathahalli","Marathahalli"
"3748","Malabar Treat","Quick Bites","3.4","6","500","Yes","No","North Indian, Arabian, South Indian, Chinese","3748","Byresandra,Tavarekere,Madiwala","Koramangala 1st Block"
"3749","Malabar Xpress","Quick Bites","3.2","4","300","Yes","No","South Indian, Kerala","3749","Koramangala 6th Block","Koramangala 5th Block"
"3750","Malenadu Kitchen","Casual Dining","3.8","170","700","Yes","Yes","South Indian, North Indian, Chinese","3750","JP Nagar","Kanakapura Road"
"3751","Malgudi Natti Style Hotel","Quick Bites","3.6","13","400","Yes","No","South Indian","3751","New BEL Road","Sahakara Nagar"
"3752","Malgudi's Donne Biriyani","Quick Bites","3.8","101","350","Yes","No","Biryani","3752","Malleshwaram","Rajajinagar"
"3753","Malhar Maharashtrian Cuisine","Casual Dining","4","101","500","Yes","No","Maharashtrian","3753","Bannerghatta Road","Bannerghatta Road"
"3754","Malleshwaram Dosa Corner","Quick Bites","4.4","104","120","Yes","No","South Indian","3754","Malleshwaram","Malleshwaram"
"3755","Malleshwaram Holige Mane","Quick Bites","3.5","7","200","No","No","South Indian","3755","Malleshwaram","Malleshwaram"
"3756","Mallige","Casual Dining","3.2","5","700","No","No","North Indian, South Indian","3756","Brigade Road","Race Course Road"
"3757","Mallige Ootada Mane","Quick Bites","3.3","13","300","No","No","South Indian","3757","Rajajinagar","Vijay Nagar"
"3758","Mallnad Hotel","Quick Bites","3.2","4","300","No","No","North Indian, Chinese","3758","Rajajinagar","Rajajinagar"
